icd10,icd9
A000,0010
A001,0011
A009,0019
A010,0020
A011,0021
A012,0022
A013,0023
A014,0029
A020,0030
A021,0031
A022,00320
A028,0038
A029,0039
A030,0040
A031,0041
A032,0042
A033,0043
A038,0048
A039,0049
A040,00801
A041,00802
A042,00803
A043,00804
A044,00809
A045,00843
A046,00844
A047,00845
A048,00849
A049,0085
A050,0050
A051,0051
A052,0052
A053,0054
A054,00589
A058,00589
A059,0059
A060,0060
A061,0061
A062,0062
A063,0068
A064,0063
A065,0064
A066,0065
A067,0066
A068,0068
A069,0069
A070,0070
A071,0071
A072,0074
A073,0072
A078,0078
A079,0079
A080,00861
A081,00863
A082,00862
A083,00869
A084,0088
A085,00849
A09,0093
A150,01193
A151,01194
A152,01195
A153,01190
A154,01214
A155,01224
A156,01204
A157,01004
A158,01284
A159,01194
A160,01196
A161,01191
A162,01190
A163,01210
A164,01220
A165,01200
A167,01000
A168,01280
A169,01190
A170,01300
A171,01310
A178,01320
A179,01390
A180,01500
A181,01600
A182,01720
A183,01400
A184,01700
A185,01730
A186,01740
A187,01760
A188,01790
A190,01800
A191,01800
A192,01800
A198,01880
A199,01890
A200,0200
A201,0201
A202,0205
A203,0208
A207,0202
A208,0208
A209,0209
A210,0210
A211,0213
A212,0212
A213,0211
A217,0218
A218,0218
A219,0219
A220,0220
A221,0221
A222,0222
A227,0223
A228,0228
A229,0229
A230,0230
A231,0231
A232,0232
A233,0233
A238,0238
A239,0239
A240,024
A241,025
A242,025
A243,025
A244,025
A250,0260
A251,0261
A259,0269
A260,0271
A267,0271
A268,0271
A269,0271
A270,1000
A278,10089
A279,1009
A280,0272
A281,0783
A282,0278
A288,0278
A289,0279
A300,0302
A301,0301
A302,0303
A303,0303
A304,0303
A305,0300
A308,0308
A309,0309
A310,0310
A311,0311
A318,0318
A319,0319
A320,0270
A321,0270
A327,0270
A328,0270
A329,0270
A33,7713
A34,67004
A35,037
A360,0320
A361,0321
A362,0323
A363,03285
A368,03289
A369,0329
A370,0330
A371,0331
A378,0338
A379,0339
A38,0341
A390,0360
A391,0363
A392,0362
A393,0362
A394,0362
A395,03640
A398,03689
A399,0369
A400,0380
A401,0380
A402,0380
A403,0382
A408,0380
A409,0380
A410,0381
A411,0381
A412,0381
A413,03841
A414,0383
A4151,03842
A4152,03843
A4158,03849
A418,0388
A419,0389
A420,0391
A421,0392
A422,0393
A427,0398
A428,0398
A429,0399
A430,0391
A431,0390
A438,0398
A439,0399
A440,0880
A441,0880
A448,0880
A449,0880
A46,035
A480,0400
A481,48283
A482,48283
A483,04089
A484,04089
A488,04089
A490,04110
A491,04100
A492,0415
A493,04181
A498,04189
A499,0419
A500,0900
A501,0901
A502,0902
A503,0903
A504,09040
A505,0905
A506,0906
A507,0907
A509,0909
A510,0910
A511,0911
A512,0912
A513,0913
A514,09169
A515,0929
A519,0929
A520,0939
A521,0940
A522,0943
A523,0949
A527,0958
A528,096
A529,0970
A530,0971
A539,0979
A540,0980
A541,0980
A542,09810
A543,09840
